,State,Total Population,Median Household Income,Per Capita Income,Unemployment Rate,Poverty Rate,Share of Population with HS Diploma,Gini Index,Hate Crimes Committed,"Hate Crime Rate per 100,000 Population",total_crimes_2017,share_per_state_2017
0,District of Columbia,659009.0,72935.0,48781.0,8.654845009557052,17.00432012309392,0.891784482457751,0.5281,194.0,29.438141208997145,7334.0,2.6452140714480503
1,Kentucky,4411989.0,44811.0,24802.0,7.504868293539039,18.226224045436197,0.8216536804602188,0.4784,378.0,8.567564425024631,7334.0,5.154076902099809
2,Washington,7073146.0,62848.0,32999.0,6.753283743235456,12.48745607682918,0.8711887185702091,0.4561,511.0,7.224508019486661,7334.0,6.967548404690483
3,Massachusetts,6742143.0,70954.0,38069.0,6.772892433863201,10.988138341177278,0.8468647134894647,0.4851,434.0,6.437122440149964,7334.0,5.91764385055904
4,New Jersey,8915456.0,73702.0,37538.0,7.84894415774235,10.648260728335153,0.8240207791951415,0.4794,499.0,5.597021621776833,7334.0,6.803926915734933
5,Vermont,626249.0,56104.0,30663.0,4.956632727061758,11.12544690690125,0.8166655755138931,0.4525,34.0,5.42915038586888,7334.0,0.4635942187073902
6,Michigan,9909600.0,50803.0,27549.0,8.485464213667315,15.894344877694357,0.8274317833212239,0.4671,457.0,4.611689674658916,7334.0,6.23125170439051
7,Arizona,6728577.0,51340.0,26686.0,7.94389835501572,17.323662937943638,0.8664417454091704,0.4668,264.0,3.9235636301702423,7334.0,3.599672757022089
8,Oregon,3982267.0,53270.0,28822.0,8.056216203216835,15.423953240704353,0.8665348154706854,0.4593,148.0,3.716476067526361,7334.0,2.0179983637851104
9,Ohio,11586941.0,50674.0,27800.0,7.237560006282308,14.955103335729422,0.797004317187772,0.4642,386.0,3.3313365451675296,7334.0,5.263157894736842
10,Connecticut,3588570.0,71755.0,39906.0,7.920298815570294,10.044781068782273,0.8345321395430492,0.4943,114.0,3.1767528569876022,7334.0,1.5544041450777202
11,Delaware,934695.0,61017.0,31118.0,7.090882669469126,11.70948812179374,0.8107104456533949,0.4811,29.0,3.102616361486902,7334.0,0.3954185983092446
12,California,38654206.0,63783.0,31458.0,8.68288491964446,15.533256587911804,0.8789710232309519,0.4866,1094.0,2.8302224083971614,7334.0,14.916825743114263
13,New York,19697457.0,60741.0,34212.0,7.4999323328339464,15.065721427898028,0.845126911560208,0.5157,554.0,2.8125458022322376,7334.0,7.553858740114536
14,Minnesota,5450868.0,63217.0,33225.0,4.841558003559808,10.589065814839032,0.8484911027014413,0.4516,146.0,2.6784724928213266,7334.0,1.9907281156258523
15,Kansas,2898292.0,53571.0,28478.0,5.248308084985387,12.875238243765638,0.8545981564314431,0.4539,77.0,2.6567371403571483,7334.0,1.0499045541314427
16,Idaho,1635483.0,49174.0,24280.0,6.179327572687078,14.954909344823516,0.8565243417388013,0.4478,42.0,2.5680487048780085,7334.0,0.5726752113444232
17,Nebraska,1881259.0,54384.0,28596.0,4.151699411653917,12.067503730214712,0.8466356838691536,0.4391,48.0,2.5514828101819047,7334.0,0.654485955822198
18,Maine,1329923.0,50826.0,28473.0,5.979644497060463,13.113917121517561,0.7985093873855855,0.4526,32.0,2.406154341266374,7334.0,0.436323970548132
19,Virginia,8310301.0,66149.0,34967.0,5.799064482399315,11.090621145972932,0.861028018118718,0.4674,188.0,2.2622525947014434,7334.0,2.5634033269702754
20,Tennessee,6548009.0,46574.0,26019.0,7.464436425217227,16.80158044987415,0.8197242856569074,0.4822,136.0,2.076967212476342,7334.0,1.8543768748295608
21,West Virginia,1846092.0,42644.0,24002.0,7.534339306813706,17.22882716571005,0.76315210726226,0.4686,38.0,2.058402289810042,7334.0,0.5181347150259068
22,Montana,1023391.0,48380.0,27309.0,5.611546240539038,14.527878396429127,0.8289177841118399,0.4539,21.0,2.0520016298755803,7334.0,0.2863376056722116
23,North Dakota,736162.0,59114.0,33107.0,2.7244261147746234,10.773987247372181,0.8461901048953899,0.4546,15.0,2.0375949858862588,7334.0,0.20452686119443686
24,Utah,2948427.0,62518.0,25600.0,5.037692778875232,11.49114426099069,0.8833357583552179,0.4225,58.0,1.967150619635487,7334.0,0.7908371966184892
25,South Carolina,4834605.0,46898.0,25521.0,8.259272536370633,16.680204484130556,0.8307779022277931,0.4795,88.0,1.8202107514471193,7334.0,1.199890919007363
26,South Dakota,851058.0,52078.0,27516.0,4.087415777653004,13.5478428027232,0.8271457409483255,0.4488,15.0,1.7625120732077015,7334.0,0.20452686119443686
27,Missouri,6059651.0,49593.0,27044.0,6.551272084516493,14.815292167816265,0.8219286886323981,0.4618,104.0,1.7162704584801995,7334.0,1.418052904281429
28,Maryland,5959902.0,76067.0,37756.0,6.648982079816955,9.678598742059853,0.8481694833237191,0.45299999999999996,101.0,1.6946587376772302,7334.0,1.3771475320425415
29,North Carolina,9940828.0,48256.0,26779.0,8.176279968837562,16.414165902478143,0.8520901880607933,0.4763,166.0,1.6698810199713747,7334.0,2.2634305972184348
30,Mississippi,2989192.0,40528.0,21651.0,9.531016861259493,21.59623737785997,0.8420683582720682,0.479,49.0,1.6392389649109191,7334.0,0.6681210799018271
31,Colorado,5359295.0,62520.0,33230.0,5.925913909874476,11.903394009846444,0.8807100560801374,0.4553,87.0,1.6233478470582419,7334.0,1.186255794927734
32,Indiana,6589578.0,50433.0,26117.0,6.9017881476729235,14.533464813680027,0.8085246126534962,0.4497,98.0,1.4871969039595556,7334.0,1.3362421598036542
33,New Hampshire,1327503.0,68485.0,35264.0,5.055862814810447,8.262881515145352,0.8299491601902218,0.4386,17.0,1.2805997425241225,7334.0,0.2317971093536951
