,State,Total Population,Median Household Income,Per Capita Income,Unemployment Rate,Poverty Rate,Share of Population with HS Diploma,Gini Index,Hate Crimes Committed,Hate Crime Rate,"Hate Crime Rate per 100,000 Population"
0,District of Columbia,659009.0,72935.0,48781.0,8.654845009557052,17.00432012309392,0.891784482457751,0.5281,194.0,29.438141208997145,29.438141208997145
1,Kentucky,4411989.0,44811.0,24802.0,7.504868293539039,18.226224045436197,0.8216536804602188,0.4784,378.0,8.567564425024631,8.567564425024631
2,Washington,7073146.0,62848.0,32999.0,6.753283743235456,12.48745607682918,0.8711887185702091,0.4561,511.0,7.224508019486661,7.224508019486661
3,Massachusetts,6742143.0,70954.0,38069.0,6.772892433863201,10.988138341177278,0.8468647134894647,0.4851,434.0,6.437122440149964,6.437122440149964
4,New Jersey,8915456.0,73702.0,37538.0,7.84894415774235,10.648260728335153,0.8240207791951415,0.4794,499.0,5.597021621776833,5.597021621776833
5,Vermont,626249.0,56104.0,30663.0,4.956632727061758,11.12544690690125,0.8166655755138931,0.4525,34.0,5.42915038586888,5.42915038586888
6,Michigan,9909600.0,50803.0,27549.0,8.485464213667315,15.894344877694357,0.8274317833212239,0.4671,457.0,4.611689674658916,4.611689674658916
7,Arizona,6728577.0,51340.0,26686.0,7.94389835501572,17.323662937943638,0.8664417454091704,0.4668,264.0,3.9235636301702423,3.9235636301702423
8,Oregon,3982267.0,53270.0,28822.0,8.056216203216835,15.423953240704353,0.8665348154706854,0.4593,148.0,3.716476067526361,3.716476067526361
9,Ohio,11586941.0,50674.0,27800.0,7.237560006282308,14.955103335729422,0.797004317187772,0.4642,386.0,3.3313365451675296,3.3313365451675296
10,Connecticut,3588570.0,71755.0,39906.0,7.920298815570294,10.044781068782273,0.8345321395430492,0.4943,114.0,3.1767528569876022,3.1767528569876022
11,Delaware,934695.0,61017.0,31118.0,7.090882669469126,11.70948812179374,0.8107104456533949,0.4811,29.0,3.102616361486902,3.102616361486902
12,California,38654206.0,63783.0,31458.0,8.68288491964446,15.533256587911804,0.8789710232309519,0.4866,1094.0,2.8302224083971614,2.8302224083971614
13,New York,19697457.0,60741.0,34212.0,7.4999323328339464,15.065721427898028,0.845126911560208,0.5157,554.0,2.8125458022322376,2.8125458022322376
14,Minnesota,5450868.0,63217.0,33225.0,4.841558003559808,10.589065814839032,0.8484911027014413,0.4516,146.0,2.6784724928213266,2.6784724928213266
15,Kansas,2898292.0,53571.0,28478.0,5.248308084985387,12.875238243765638,0.8545981564314431,0.4539,77.0,2.6567371403571483,2.6567371403571483
16,Idaho,1635483.0,49174.0,24280.0,6.179327572687078,14.954909344823516,0.8565243417388013,0.4478,42.0,2.5680487048780085,2.5680487048780085
17,Nebraska,1881259.0,54384.0,28596.0,4.151699411653917,12.067503730214712,0.8466356838691536,0.4391,48.0,2.5514828101819047,2.5514828101819047
18,Maine,1329923.0,50826.0,28473.0,5.979644497060463,13.113917121517561,0.7985093873855855,0.4526,32.0,2.406154341266374,2.406154341266374
19,Virginia,8310301.0,66149.0,34967.0,5.799064482399315,11.090621145972932,0.861028018118718,0.4674,188.0,2.2622525947014434,2.2622525947014434
20,Tennessee,6548009.0,46574.0,26019.0,7.464436425217227,16.80158044987415,0.8197242856569074,0.4822,136.0,2.076967212476342,2.076967212476342
21,West Virginia,1846092.0,42644.0,24002.0,7.534339306813706,17.22882716571005,0.76315210726226,0.4686,38.0,2.058402289810042,2.058402289810042
22,Montana,1023391.0,48380.0,27309.0,5.611546240539038,14.527878396429127,0.8289177841118399,0.4539,21.0,2.0520016298755803,2.0520016298755803
23,North Dakota,736162.0,59114.0,33107.0,2.7244261147746234,10.773987247372181,0.8461901048953899,0.4546,15.0,2.0375949858862588,2.0375949858862588
24,Utah,2948427.0,62518.0,25600.0,5.037692778875232,11.49114426099069,0.8833357583552179,0.4225,58.0,1.967150619635487,1.967150619635487
25,South Carolina,4834605.0,46898.0,25521.0,8.259272536370633,16.680204484130556,0.8307779022277931,0.4795,88.0,1.8202107514471193,1.8202107514471193
26,South Dakota,851058.0,52078.0,27516.0,4.087415777653004,13.5478428027232,0.8271457409483255,0.4488,15.0,1.7625120732077015,1.7625120732077015
